speaker_start_role,Accusation,Call for Action,Defense,Evidence,Identity Declaration,Interrogation,No Strategy / Empty
Doppelganger,0.07886847112007978,-2.005746709398702,3.157223178579386,7.822494753725163,6.739239612338615,-4.968252189257665,-3.3170148255494354
Mason,0.9317469359388451,1.2991573417740065,-7.2905380154504655,-2.945095864611723,-0.510227338620874,-0.5972500570615029,2.866354044386604
Minion,-3.4739556436004335,-0.6390507772945169,3.0138225347397594,2.0308646688553953,-0.6151648360078887,-0.27992909882746453,1.5586070649978296
Hunter,6.544799684617809,2.436823050497469,-3.1737307474426775,-2.0373365246654913,2.002055965356135,0.8811962208656325,-5.803711775581881
Drunk,-2.777539145966898,-1.6853658550497572,0.18758859288715612,-1.5830636610972757,-0.9177341395913912,0.906683477237447,3.5988369500553006
Insomniac,-1.128972195675809,0.2694035135127155,-0.4360119445064843,-2.9293466884147863,-0.2000897150504155,-1.3083859361078307,4.7296027359935024
Villager,0.8732967708788717,-1.2693569538191802,-2.3947192603566574,-4.7084797175478155,1.3041975035225182,-0.7734237940028308,4.974676195352679
Tanner,0.0854233121979604,0.6309381141777513,4.965048347858158,-1.0412890938354522,-0.9404121945033292,1.8438664009271157,-4.528349456741296
Seer,0.46714847332308906,0.49907236864282556,1.3149584872757565,1.4332233983250422,-1.4168434410292328,-0.3689241064245987,-0.8276167972407933
Robber,-0.1471027116816792,0.40077591825622516,1.2813335051335848,1.4861406413784923,-1.2167312416069551,0.5830752152683374,-2.174474458451961
Troublemaker,-0.6015717485636873,0.2292245945156406,-0.7285719394644232,2.876414421728281,-3.0395853607122034,2.336147877209882,-1.5168520652714577
Werewolf,-0.8521422025881478,-0.16587460581448354,0.10359726074689313,-0.40452633383983105,-1.1887048140949616,1.7451959901734853,0.43994238805095165
